"Hot Spots - Method","Self time [%]","Self time","Invocations"
"org.eclipse.jetty.util.thread.QueuedThreadPool$3.run()","0.010866856","219.593 ms","1"
"org.eclipse.jetty.http.HttpFields.put(org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer)","0.010843053","219.112 ms","136773"
"org.eclipse.jetty.http.HttpFields.getValues(String)","0.010564692","213.487 ms","548466"
"org.eclipse.jetty.util.URIUtil.canonicalPath(String)","0.010449241","211.154 ms","137226"
"org.parboiled.scala.package$.string2Input(String)","0.010399309","210.145 ms","411237"
"org.eclipse.jetty.server.AsyncContinuation.unhandle()","0.0103865415","209.887 ms","137223"
"scala.collection.JavaConversions$.enumerationAsScalaIterator(java.util.Enumeration)","0.010318943","208.521 ms","685686"
"org.eclipse.jetty.http.HttpFields$3.nextElement()","0.010217002","206.461 ms","548463"
"org.eclipse.jetty.util.Utf8StringBuilder.toString()","0.010107736","204.253 ms","411678"
"org.eclipse.jetty.servlet.ServletHandler.doHandle(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.0100832395","203.758 ms","137226"
"scala.runtime.BoxesRunTime.boxToInteger(int)","0.010038455","202.853 ms","1722336"
"org.eclipse.jetty.io.View.update(int, int)","0.010033902","202.761 ms","822916"
"scala.collection.immutable.HashMap.elemHashCode(Object)","0.009991987","201.914 ms","537612"
"org.eclipse.jetty.io.AbstractBuffer.toString()","0.009954081","201.148 ms","959668"
"org.parboiled.scala.rules.Rule$$anonfun$stack1$1.apply(Object)","0.00993488","200.76 ms","959236"
"me.prettyprint.cassandra.serializers.StringSerializer.fromByteBuffer(java.nio.ByteBuffer)","0.009883859","199.729 ms","229041"
"org.eclipse.jetty.io.AbstractBuffer.isImmutable()","0.009879207","199.635 ms","2621359"
"org.eclipse.jetty.io.ByteArrayBuffer.<init>(byte[], int, int, int)","0.009874061","199.531 ms","574359"
"scala.collection.immutable.HashMap$HashMap1.get0(Object, int, int)","0.009787954","197.791 ms","537612"
"cc.spray.connectors.ConnectorServlet$$anonfun$respond$2.apply(cc.spray.http.HttpContent)","0.009726245","196.544 ms","25446"
"org.parboiled.support.DefaultValueStack.pop()","0.009715903","196.335 ms","1508171"
"org.parboiled.scala.rules.Rule$$anonfun$exec$1.apply(Object)","0.009563039","193.246 ms","1370474"
"org.eclipse.jetty.http.HttpParser.parseAvailable()","0.009320804","188.351 ms","139870"
"org.parboiled.scala.rules.Rule$$anonfun$4.apply(org.parboiled.support.ValueStack, int)","0.0092902705","187.734 ms","1508171"
"org.eclipse.jetty.http.HttpFields.getField(org.eclipse.jetty.io.Buffer)","0.009285322","187.634 ms","137226"
"org.eclipse.jetty.io.BufferUtil.to8859_1_String(org.eclipse.jetty.io.Buffer)","0.009244892","186.817 ms","548462"
"cc.spray.connectors.ConnectorServlet$$anonfun$1.apply(Object)","0.009223415","186.383 ms","548472"
"scala.collection.immutable.HashMap.computeHash(Object)","0.0092146555","186.206 ms","537612"
"org.eclipse.jetty.security.SecurityHandler.handle(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.009127065","184.436 ms","137226"
"cc.spray.http.HttpContent$.apply(cc.spray.http.ContentType, String)","0.009104746","183.985 ms","25455"
"org.eclipse.jetty.http.PathMap.pathMatch(String, String)","0.009096927","183.827 ms","137226"
"org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run()","0.008988949","181.645 ms","136593"
"org.eclipse.jetty.http.AbstractGenerator.returnBuffers()","0.008848902","178.815 ms","137096"
"org.parboiled.support.DefaultValueStack.pop(int)","0.0088487035","178.811 ms","1508171"
"org.slf4j.impl.Log4jLoggerAdapter.debug(String, Object, Object)","0.008728204","176.376 ms","144911"
"org.parboiled.scala.Parser$$anonfun$push$2.apply(org.parboiled.Context)","0.008705342","175.914 ms","137233"
"org.parboiled.matchers.OptionalMatcher.match(org.parboiled.MatcherContext)","0.008691486","175.634 ms","548926"
"com.github.siasia.LoggerBase$$anonfun$1.apply(Object)","0.0086351205","174.495 ms","1097621"
"org.eclipse.jetty.http.PathMap.getLazyMatches(String)","0.008567077","173.12 ms","137226"
"org.eclipse.jetty.server.Request.setAttribute(String, Object)","0.008554557","172.867 ms","137226"
"org.apache.cassandra.locator.DynamicEndpointSnitch.updateScores()","0.008488097","171.524 ms","7807"
"org.eclipse.jetty.io.ByteArrayBuffer.hashCode()","0.008282679","167.373 ms","2295181"
"sbt.Log.<init>(scala.Enumeration.Value, String)","0.008160695","164.908 ms","1235113"
"scala.collection.mutable.HashTable$HashUtils$class.elemHashCode(scala.collection.mutable.HashTable.HashUtils, Object)","0.008144463","164.58 ms","437144"
"scala.collection.immutable.HashMap.get(Object)","0.0080314865","162.297 ms","537612"
"org.parboiled.parserunners.AbstractParseRunner.withValueStack(org.parboiled.support.ValueStack)","0.008020995","162.085 ms","822474"
"org.eclipse.jetty.util.thread.Timeout.schedule(org.eclipse.jetty.util.thread.Timeout.Task, long)","0.007980565","161.268 ms","136629"
"org.eclipse.jetty.http.HttpURI.parse2(byte[], int, int)","0.00792227","160.09 ms","137226"
"org.parboiled.parserunners.ReportingParseRunner.<init>(org.parboiled.Rule)","0.007906781","159.777 ms","411237"
"scala.collection.mutable.HashMap.findEntry(Object)","0.007883671","159.31 ms","437148"
"org.eclipse.jetty.io.View$CaseInsensitive.equals(Object)","0.007833343","158.293 ms","410771"
"akka.actor.LocalActorRef.postMessageToMailbox(Object, akka.actor.UntypedChannel)","0.007832304","158.272 ms","189241"
"org.apache.cassandra.utils.AbstractStatsDeque.sum()","0.00782587","158.142 ms","7608"
"org.eclipse.jetty.http.HttpParser.returnBuffers()","0.0077754934","157.124 ms","274324"
"org.parboiled.scala.Input$$anonfun$init$default$2$1.apply(char[])","0.0077396655","156.4 ms","411238"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher$$anon$4.enqueue(akka.dispatch.MessageInvocation)","0.0077220974","156.045 ms","189240"
"scala.collection.JavaConversions$JEnumerationWrapper.seq()","0.007640841","154.403 ms","1371356"
"scala.collection.JavaConversions$JEnumerationWrapper.seq()","0.007619364","153.969 ms","1371372"
"org.eclipse.jetty.http.HttpParser.isComplete()","0.0075614154","152.798 ms","556331"
"org.eclipse.jetty.http.HttpFields.getFieldNames()","0.0074849096","151.252 ms","137232"
"scala.runtime.BoxesRunTime.boxToBoolean(boolean)","0.0074830293","151.214 ms","1782374"
